predicate,inverse,inverse_proportion,problematic_inverse
derivative_of,surrounds,1.0,True
derivative_of,contains,1.0,True
precedes,affects,0.8421052631578947,True
degree_of,affects,0.8148148148148148,True
precedes,result_of,0.7894736842105263,True
degree_of,result_of,0.7777777777777778,False
degree_of,complicates,0.7777777777777778,False
precedes,process_of,0.7719298245614035,False
degree_of,process_of,0.7407407407407407,False
co-occurs_with,result_of,0.7291666666666666,False
degree_of,manifestation_of,0.7037037037037037,False
degree_of,precedes,0.6666666666666666,False
conceptually_related_to,affects,0.5,False
conceptually_related_to,precedes,0.5,False
conceptually_related_to,manifestation_of,0.5,False
conceptually_related_to,degree_of,0.5,False
conceptually_related_to,occurs_in,0.5,False
connected_to,part_of,0.5,False
interconnects,contains,0.5,False
conceptually_related_to,result_of,0.5,False
interconnects,part_of,0.5,False
conceptually_related_to,complicates,0.5,False
manifestation_of,result_of,0.49019607843137253,False
co-occurs_with,manifestation_of,0.4791666666666667,False
co-occurs_with,affects,0.4583333333333333,False
degree_of,associated_with,0.4444444444444444,False
disrupts,produces,0.41732283464566927,False
co-occurs_with,precedes,0.3958333333333333,False
process_of,result_of,0.3821138211382114,False
co-occurs_with,complicates,0.375,False
manifestation_of,affects,0.37254901960784315,False
process_of,affects,0.3712737127371274,False
degree_of,co-occurs_with,0.37037037037037035,False
exhibits,associated_with,0.36363636363636365,False
co-occurs_with,process_of,0.3541666666666667,False
precedes,complicates,0.3508771929824561,False
result_of,affects,0.34725274725274724,False
surrounds,part_of,0.3333333333333333,False
precedes,manifestation_of,0.3333333333333333,False
manifestation_of,process_of,0.3333333333333333,False
precedes,co-occurs_with,0.3333333333333333,False
adjacent_to,location_of,0.3333333333333333,False
precedes,degree_of,0.3157894736842105,False
result_of,process_of,0.3098901098901099,False
produces,affects,0.3076923076923077,False
degree_of,occurs_in,0.2962962962962963,False
co-occurs_with,location_of,0.2708333333333333,False
complicates,produces,0.2694063926940639,False
produces,complicates,0.2669683257918552,False
diagnoses,result_of,0.2647058823529412,False
occurs_in,associated_with,0.2535211267605634,False
connected_to,contains,0.25,False
connected_to,location_of,0.25,False
developmental_form_of,connected_to,0.25,False
developmental_form_of,adjacent_to,0.25,False
developmental_form_of,surrounds,0.25,False
connected_to,developmental_form_of,0.25,False
associated_with,result_of,0.24242424242424243,False
manifestation_of,complicates,0.24183006535947713,False
produces,disrupts,0.2398190045248869,False
complicates,result_of,0.2374429223744292,False
indicates,produces,0.21739130434782608,False
co-occurs_with,degree_of,0.20833333333333334,False
affects,result_of,0.19676214196762143,False
treats,result_of,0.19047619047619047,False
co-occurs_with,occurs_in,0.1875,False
contains,location_of,0.18181818181818182,False
performs,associated_with,0.1780821917808219,False
affects,process_of,0.1706102117061021,False
occurs_in,result_of,0.16901408450704225,False
complicates,manifestation_of,0.1689497716894977,False
surrounds,contains,0.16666666666666666,False
surrounds,derivative_of,0.16666666666666666,False
surrounds,developmental_form_of,0.16666666666666666,False
adjacent_to,part_of,0.16666666666666666,False
adjacent_to,developmental_form_of,0.16666666666666666,False
adjacent_to,contains,0.16666666666666666,False
result_of,manifestation_of,0.16483516483516483,False
measurement_of,affects,0.16326530612244897,False
produces,causes,0.1583710407239819,False
precedes,associated_with,0.15789473684210525,False
precedes,occurs_in,0.15789473684210525,False
manifestation_of,co-occurs_with,0.1503267973856209,False
degree_of,isa,0.14814814814814814,False
occurs_in,complicates,0.14084507042253522,False
process_of,manifestation_of,0.13821138211382114,False
conceptual_part_of,occurs_in,0.13333333333333333,False
occurs_in,precedes,0.1267605633802817,False
occurs_in,co-occurs_with,0.1267605633802817,False
manifestation_of,precedes,0.12418300653594772,False
manifestation_of,degree_of,0.12418300653594772,False
causes,produces,0.12367491166077739,False
prevents,result_of,0.12,False
process_of,precedes,0.11924119241192412,False
diagnoses,occurs_in,0.11764705882352941,False
result_of,complicates,0.11428571428571428,False
occurs_in,affects,0.11267605633802817,False
occurs_in,process_of,0.11267605633802817,False
occurs_in,degree_of,0.11267605633802817,False
consists_of,part_of,0.1111111111111111,False
result_of,associated_with,0.1054945054945055,False
complicates,affects,0.1050228310502283,False
result_of,precedes,0.0989010989010989,False
occurs_in,manifestation_of,0.09859154929577464,False
complicates,degree_of,0.0958904109589041,False
complicates,precedes,0.091324200913242,False
complicates,process_of,0.091324200913242,False
associated_with,occurs_in,0.09090909090909091,False
contains,surrounds,0.09090909090909091,False
contains,interconnects,0.09090909090909091,False
contains,adjacent_to,0.09090909090909091,False
contains,connected_to,0.09090909090909091,False
contains,part_of,0.09090909090909091,False
contains,derivative_of,0.09090909090909091,False
precedes,isa,0.08771929824561403,False
indicates,location_of,0.08695652173913043,False
isa,result_of,0.08521303258145363,False
affects,produces,0.08468244084682441,False
complicates,co-occurs_with,0.0821917808219178,False
process_of,isa,0.08130081300813008,False
interacts_with,isa,0.07988980716253444,False
result_of,co-occurs_with,0.07692307692307693,False
isa,process_of,0.07518796992481203,False
result_of,isa,0.07472527472527472,False
uses,affects,0.07272727272727272,False
isa,interacts_with,0.07268170426065163,False
